 Task Expected Results 
-----------------------
 Lab 7: Step 2: Task 3
(1 row)

 item_id | active_flag | price_type |  price_desc  | start_date |  end_date  | amount 
---------+-------------+------------+--------------+------------+------------+--------
    1001 | N           |       1025 | 1-DAY RENTAL | 1990-04-02 | 1990-04-01 |      3
    1001 | N           |       1026 | 3-DAY RENTAL | 1990-04-02 | 1990-04-01 |     10
    1001 | N           |       1027 | 5-DAY RENTAL | 1990-04-02 | 1990-04-01 |     15
    1001 | Y           |       1025 | 1-DAY RENTAL | 1990-04-02 |            |      1
    1001 | Y           |       1026 | 3-DAY RENTAL | 1990-04-02 |            |      3
    1001 | Y           |       1027 | 5-DAY RENTAL | 1990-04-02 |            |      5
    1002 | N           |       1025 | 1-DAY RENTAL | 1999-06-04 | 1999-06-03 |      3
    1002 | N           |       1026 | 3-DAY RENTAL | 1999-06-04 | 1999-06-03 |     10
    1002 | N           |       1027 | 5-DAY RENTAL | 1999-06-04 | 1999-06-03 |     15
    1002 | Y           |       1025 | 1-DAY RENTAL | 1999-06-04 |            |      1
    1002 | Y           |       1026 | 3-DAY RENTAL | 1999-06-04 |            |      3
    1002 | Y           |       1027 | 5-DAY RENTAL | 1999-06-04 |            |      5
    1003 | N           |       1025 | 1-DAY RENTAL | 2002-06-16 | 2002-06-15 |      3
    1003 | N           |       1026 | 3-DAY RENTAL | 2002-06-16 | 2002-06-15 |     10
    1003 | N           |       1027 | 5-DAY RENTAL | 2002-06-16 | 2002-06-15 |     15
    1003 | Y           |       1025 | 1-DAY RENTAL | 2002-06-16 |            |      1
    1003 | Y           |       1026 | 3-DAY RENTAL | 2002-06-16 |            |      3
    1003 | Y           |       1027 | 5-DAY RENTAL | 2002-06-16 |            |      5
    1004 | N           |       1025 | 1-DAY RENTAL | 2002-06-16 | 2002-06-15 |      3
    1004 | N           |       1026 | 3-DAY RENTAL | 2002-06-16 | 2002-06-15 |     10
    1004 | N           |       1027 | 5-DAY RENTAL | 2002-06-16 | 2002-06-15 |     15
    1004 | Y           |       1025 | 1-DAY RENTAL | 2002-06-16 |            |      1
    1004 | Y           |       1026 | 3-DAY RENTAL | 2002-06-16 |            |      3
    1004 | Y           |       1027 | 5-DAY RENTAL | 2002-06-16 |            |      5
    1005 | N           |       1025 | 1-DAY RENTAL | 2005-06-19 | 2005-06-18 |      3
    1005 | N           |       1026 | 3-DAY RENTAL | 2005-06-19 | 2005-06-18 |     10
    1005 | N           |       1027 | 5-DAY RENTAL | 2005-06-19 | 2005-06-18 |     15
    1005 | Y           |       1025 | 1-DAY RENTAL | 2005-06-19 |            |      1
    1005 | Y           |       1026 | 3-DAY RENTAL | 2005-06-19 |            |      3
    1005 | Y           |       1027 | 5-DAY RENTAL | 2005-06-19 |            |      5
    1006 | N           |       1025 | 1-DAY RENTAL | 2002-06-16 | 2002-06-15 |      3
    1006 | N           |       1026 | 3-DAY RENTAL | 2002-06-16 | 2002-06-15 |     10
    1006 | N           |       1027 | 5-DAY RENTAL | 2002-06-16 | 2002-06-15 |     15
    1006 | Y           |       1025 | 1-DAY RENTAL | 2002-06-16 |            |      1
    1006 | Y           |       1026 | 3-DAY RENTAL | 2002-06-16 |            |      3
    1006 | Y           |       1027 | 5-DAY RENTAL | 2002-06-16 |            |      5
    1007 | N           |       1025 | 1-DAY RENTAL | 2003-08-24 | 2003-08-23 |      3
    1007 | N           |       1026 | 3-DAY RENTAL | 2003-08-24 | 2003-08-23 |     10
    1007 | N           |       1027 | 5-DAY RENTAL | 2003-08-24 | 2003-08-23 |     15
    1007 | Y           |       1025 | 1-DAY RENTAL | 2003-08-24 |            |      1
